inv;branch;plate;make;model;internal;trip;fuel;price;kmL;l100;cost;costBeforeTax;vat;liters;odometer;pay;driver;station;stationBranch;region;loc;date;project
102531527;F1;PLATE;Isuzu;D-MAX 5;6;-;diesel;1.8;30.369;3.293;129.92;112.974;0.15;72.178;54918;bal;d;s;sb;r;loc;2026-05-13 07:28:27;NGMakkah
102505180;F1;PLATE;Isuzu;D-MAX 5;5;-;diesel;1.8;12.583;7.947;111.01;96.53;0.15;61.672;36048;bal;d;s;sb;r;loc;2026-05-12 22:04:38;NGMakkah
102502598;Turaif;PLATE;Isuzu;D-MAX 5;7;-;diesel;1.79;8.95;11.173;145;126.087;0.15;81.006;31466;bal;d;s;sb;r;loc;2026-05-12 21:26:17;Turaif
102490536;F1;PLATE;MG;MG5;2;-;95;2.34;13.142;7.609;99;86.087;0.15;42.308;65975;bal;d;s;sb;r;loc;2026-05-12 18:52:47;HeadOffice
102471722;F1;PLATE;MG;MG65;3;-;95;2.33;10.06;9.94;107;93.043;0.15;45.923;70646;bal;d;s;sb;r;loc;2026-05-12 15:33:44;Imtithal
102452618;Turaif;PLATE;Isuzu;D-MAX;11;-;diesel;1.81;3.439;29.082;122.12;106.191;0.15;67.47;4677;bal;d;s;sb;r;loc;2026-05-12 12:20:19;Turaif
102340916;F1;PLATE;Nissan;Datsun;1;-;95;2.34;8.124;12.309;89;77.391;0.15;38.034;392278;bal;d;s;sb;r;loc;2026-05-11 11:44:32;NGMakkah
102291451;F1;PLATE;Isuzu;D-MAX 5;5;-;diesel;1.8;11.388;8.781;98;85.217;0.15;54.444;35272;bal;d;s;sb;r;loc;2026-05-10 22:58:27;NGMakkah
102280641;F1;PLATE;Changan;eado;4;-;95;2.352;13.83;7.231;100;86.957;0.15;42.517;108107;bal;d;s;sb;r;loc;2026-05-10 20:14:44;HeadOffice
102253358;Turaif;PLATE;JMC;CONQUER;10;-;diesel;1.79;4.228;23.651;116;100.87;0.15;64.804;820;bal;d;s;sb;r;loc;2026-05-10 15:13:27;Turaif
102172519;F1;PLATE;MG;MG5;2;-;95;2.33;11.693;8.552;107;93.043;0.15;45.923;65419;bal;d;s;sb;r;loc;2026-05-09 19:55:08;HeadOffice
102080191;F1;PLATE;MG;MG65;3;-;95;2.34;10.613;9.422;97.01;84.357;0.15;41.457;70184;bal;d;s;sb;r;loc;2026-05-08 21:25:32;Imtithal
102060506;F1;PLATE;Nissan;Datsun;1;-;95;2.34;5.504;18.168;150.07;130.496;0.15;64.132;391969;bal;d;s;sb;r;loc;2026-05-08 15:56:24;NGMakkah
102053667;F1;PLATE;Isuzu;D-MAX 5;5;-;diesel;1.8;8.708;11.484;99.01;86.096;0.15;55.006;34652;bal;d;s;sb;r;loc;2026-05-08 14:10:07;NGMakkah
102018186;F1;PLATE;Isuzu;D-MAX 5;6;-;diesel;1.8;17.109;5.845;105;91.304;0.15;58.333;52726;bal;d;s;sb;r;loc;2026-05-08 00:11:03;NGMakkah
101927678;Turaif;PLATE;Isuzu;D-MAX;11;-;diesel;1.79;5.252;19.042;136;118.261;0.15;75.978;4445;bal;d;s;sb;r;loc;2026-05-07 07:08:50;Turaif
101868881;Turaif;PLATE;JMC;Co-star;9;-;diesel;1.79;4.124;24.251;102.01;88.704;0.15;56.989;2202;bal;d;s;sb;r;loc;2026-05-06 15:25:03;Turaif
101840738;F1;PLATE;Isuzu;D-MAX 5;6;-;diesel;1.8;13.731;7.283;117.59;102.252;0.15;65.328;51728;bal;d;s;sb;r;loc;2026-05-06 10:37:51;NGMakkah
101836034;F1;PLATE;MG;MG65;3;-;95;2.34;11.7;8.547;60;52.174;0.15;25.641;69744;bal;d;s;sb;r;loc;2026-05-06 09:54:09;Imtithal
101791759;F1;PLATE;MG;MG5;2;-;95;2.33;46.432;2.154;97;84.348;0.15;41.631;64882;bal;d;s;sb;r;loc;2026-05-05 21:04:38;HeadOffice
101771924;Turaif;PLATE;Isuzu;D-MAX 5;7;-;diesel;1.79;6.977;14.333;127;110.435;0.15;70.95;30741;bal;d;s;sb;r;loc;2026-05-05 17:08:49;Turaif
101672846;F1;PLATE;Changan;eado;4;-;95;2.34;31.309;3.194;100;86.957;0.15;42.735;107519;bal;d;s;sb;r;loc;2026-05-04 18:33:01;HeadOffice
101668585;F1;PLATE;Nissan;Datsun;1;-;95;2.34;2.248;44.486;130.12;113.148;0.15;55.607;391616;bal;d;s;sb;r;loc;2026-05-04 17:45:02;NGMakkah
101626423;F1;PLATE;MG;MG65;3;-;95;2.34;10.471;9.55;85.14;74.035;0.15;36.385;69444;bal;d;s;sb;r;loc;2026-05-04 10:25:36;Imtithal
101624518;F1;PLATE;Isuzu;D-MAX 5;6;-;diesel;1.8;7.299;13.7;127;110.435;0.15;70.556;50831;bal;d;s;sb;r;loc;2026-05-04 10:07:38;NGMakkah
101476628;F1;PLATE;Nissan;Datsun;1;-;95;2.34;21.839;4.579;30;26.087;0.15;12.821;391491;bal;d;s;sb;r;loc;2026-05-02 21:58:34;NGMakkah
101315846;F1;PLATE;Isuzu;D-MAX 5;6;-;diesel;1.8;71.126;1.406;70;60.87;0.15;38.889;50316;bal;d;s;sb;r;loc;2026-05-01 00:47:27;NGMakkah
